"country_norm";"anyo";"facebook_num";"internet_por_num";"poblacion_num"
"Afghanistan";2010;;4;28284089
"Afghanistan";2023;4300000;17,7;41454761
"Albania";2010;368000;45;2913021
"Albania";2023;1350000;83,1;2745972
"Algeria";2010;1830000;12,5;36188236
"Algeria";2023;20850000;76,9;46164219
"Angola";2010;;2,8;23294825
"Angola";2023;2800000;44,8;36749906
"Argentina";2010;10750000;45;41288694
"Argentina";2023;30450000;89,2;45538401
"Australia";2010;9170000;76;22031750
"Australia";2023;16250000;97,1;26658948
"Austria";2010;2110000;75,2;8363404
"Austria";2023;3850000;95,3;9131761
"Azerbaijan";2010;296000;46;9054332
"Azerbaijan";2023;1900000;89;10153958
"Bangladesh";2010;903000;3,7;152201981
"Bangladesh";2023;43250000;44,5;171466990
"Belarus";2010;244000;31,8;9483836
"Belarus";2023;696000;91,5;9178298
"Belgium";2010;3290000;77,6;10895586
"Belgium";2023;5350000;94,6;11787423
"Bolivia";2010;592000;22,4;10182345
"Bolivia";2023;8800000;70,2;12244159
"Bosnia & Herzegovina";2010;920000;42,8;3811472
"Bosnia & Herzegovina";2023;1600000;83,4;3185073
"Botswana";2010;90000;6;2033111
"Botswana";2023;1100000;81,4;2480244
"Brazil";2010;8830000;40,7;193701929
"Brazil";2023;109100000;84,2;211140729
"Bulgaria";2010;1850000;46,2;7395599
"Bulgaria";2023;2900000;80,4;6446596
"Cambodia";2010;121000;1,26;14500726
"Cambodia";2023;13250000;60,7;17423880
"Cameroon";2010;245000;4,3;19668066
"Cameroon";2023;3900000;41,9;28372687
"Canada";2010;16840000;80,3;34005902
"Canada";2023;21050000;94;40097761
"Chile";2010;7650000;45;17181464
"Chile";2023;12550000;94,5;19658835
"Colombia";2010;9850000;36,5;44777319
"Colombia";2023;33550000;77,3;52321152
"Costa Rica";2010;1250000;36,5;4555962
"Costa Rica";2023;3850000;85,4;5105525
"Côte d’Ivoire";2010;185000;2,7;22488065
"Côte d’Ivoire";2023;3800000;40,7;31165654
"Croatia";2010;1260000;56,6;4295427
"Croatia";2023;1650000;83,2;3859686
"Cyprus";2010;370000;53;1127816
"Cyprus";2023;859400;91,2;1344976
"Czechia";2010;2470000;68,8;10474410
"Czechia";2023;5350000;86;10864042
"Denmark";2010;2500000;88,7;5547683
"Denmark";2023;3550000;98,8;5946952
"Dominican Republic";2010;1130000;31,4;9820175
"Dominican Republic";2023;6650000;84,6;11331265
"Ecuador";2010;1760000;29;15076695
"Ecuador";2023;12500000;72,7;17980083
"Egypt";2010;4410000;21,6;89196072
"Egypt";2023;47950000;72,7;114535772
"El Salvador";2010;711000;15,9;6068249
"El Salvador";2023;4700000;67,7;6309624
"Finland";2010;1800000;86,9;5363352
"Finland";2023;2500000;93,5;5583911
"France";2010;20410000;77,3;65026211
"France";2023;28950000;86,8;68287487
"Germany";2010;12080000;82;81776930
"Germany";2023;24250000;92,5;83280000
"Ghana";2010;473000;7,8;25474995
"Ghana";2023;4750000;69,9;33787914
"Greece";2010;2870000;44,4;11121341
"Greece";2023;5850000;85;10405588
"Guatemala";2010;827000;10,5;14500112
"Guatemala";2023;7950000;56,1;18124838
"Honduras";2010;425000;11,1;8365878
"Honduras";2023;3950000;58,3;10644851
"Hong Kong SAR China";2010;2760000;72;7024200
"Hong Kong SAR China";2023;4900000;96;7536100
"Hungary";2010;2920000;65;10000023
"Hungary";2023;5050000;91,5;9592186
"Indonesia";2010;28800000;10,9;246305322
"Indonesia";2023;119900000;69,2;281190067
"Iraq";2010;;2,5;31045366
"Iraq";2023;21400000;81,7;45074049
"Ireland";2010;1750000;69,9;4560155
"Ireland";2023;2900000;96,5;5307600
"Israel";2010;2410000;67,5;7623600
"Israel";2023;6800000;87;9756600
"Italy";2010;17210000;53,7;59277417
"Italy";2023;27850000;87;58993475
"Japan";2010;1570000;78,2;128070000
"Japan";2023;15600000;87;124516650
"Jordan";2010;988000;27,2;7297043
"Jordan";2023;5050000;92,5;11439213
"Kazakhstan";2010;223000;31,6;16836810
"Kazakhstan";2023;3300000;92,9;20330104
"Kenya";2010;761000;7,2;41598567
"Kenya";2023;11250000;35;55339003
"Kuwait";2010;822000;61,4;2943372
"Kuwait";2023;2900000;99,7;4853420
"Lebanon";2010;967000;43,7;5041288
"Lebanon";2023;2950000;83,5;5773493
"Libya";2010;;14;6497839
"Libya";2023;4950000;88,5;7305659
"Lithuania";2010;567000;62,1;3097282
"Lithuania";2023;1450000;88,5;2871585
"Malaysia";2010;8240000;56,3;28655776
"Malaysia";2023;21750000;97,7;35126298
"Mexico";2010;14770000;31,1;113623895
"Mexico";2023;83750000;81,2;129739759
"Morocco";2010;2650000;52;32467016
"Morocco";2023;17050000;91;37712505
"Mozambique";2010;;4,17;22999235
"Mozambique";2023;2950000;19,8;33635160
"Myanmar (Burma)";2010;;0,25;49024382
"Myanmar (Burma)";2023;18150000;58,5;54133798
"Nepal";2010;390000;7,93;27341952
"Nepal";2023;11700000;55,8;29694614
"Netherlands";2010;3330000;90,7;16615394
"Netherlands";2023;8150000;97;17877117
"New Zealand";2010;1840000;80,5;4350700
"New Zealand";2023;3200000;96,2;5223100
"Nicaragua";2010;293000;10;5737450
"Nicaragua";2023;3850000;58,2;6823613
"Nigeria";2010;1760000;11,5;166642886
"Nigeria";2023;25850000;39,2;227882945
"Norway";2010;2140000;93,4;4889252
"Norway";2023;3050000;99;5519594
"Oman";2010;;35,8;2757446
"Oman";2023;1800000;95,3;5049269
"Pakistan";2010;2820000;8;199239047
"Pakistan";2023;43550000;27,4;247504495
"Panama";2010;599000;40,1;3628535
"Panama";2023;2450000;78;4458759
"Paraguay";2010;609000;19,8;5737971
"Paraguay";2023;4250000;78,1;6844146
"Peru";2010;5170000;34,8;29086019
"Peru";2023;24350000;79,5;33845617
"Philippines";2010;16340000;25;96337125
"Philippines";2023;83850000;83,8;114891199
"Poland";2010;5860000;62,3;38042794
"Poland";2023;16950000;86,4;36687353
"Portugal";2010;2840000;53,3;10573100
"Portugal";2023;5300000;85,8;10578174
"Qatar";2010;389000;69;1616832
"Qatar";2023;2050000;99,7;2656032
"Romania";2010;2490000;39,9;20246871
"Romania";2023;9600000;89,2;19059479
"Russia";2010;3420000;49;142849468
"Russia";2023;3600000;92,2;143826130
"Saudi Arabia";2010;3140000;41;23978487
"Saudi Arabia";2023;13900000;100;33264292
"Senegal";2010;358000;8;12635413
"Senegal";2023;3800000;60,6;18077573
"Serbia";2010;2500000;40,9;7291436
"Serbia";2023;3150000;85,4;6623183
"Singapore";2010;2210000;71;5076732
"Singapore";2023;4200000;94,3;5917648
"Slovakia";2010;1410000;75,7;5391428
"Slovakia";2023;2450000;87,2;5426740
"Slovenia";2010;632000;70;2048583
"Slovenia";2023;911000;90,4;2120461
"South Africa";2010;3840000;24;52344051
"South Africa";2023;25100000;75,7;63212384
"South Korea";2010;2100000;83,7;49554112
"South Korea";2023;9900000;97,4;51712619
"Spain";2010;10740000;65,8;46576897
"Spain";2023;19950000;95,4;48347910
"Sweden";2010;3730000;90;9378126
"Sweden";2023;6050000;95,7;10536632
"Switzerland";2010;2600000;83,9;7824909
"Switzerland";2023;3750000;97,3;8888093
"Tanzania";2010;;2,9;44758488
"Tanzania";2023;6000000;29,1;66617606
"Thailand";2010;6830000;22,4;68579447
"Thailand";2023;49100000;89,5;71702435
"Tunisia";2010;1630000;36,8;10765980
"Tunisia";2023;7300000;72,4;12200431
